,product_name,prodcut_link,current_prices,old_prices,percent_discounts
0,Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-2020-m1.html,18.290.000₫,22.990.000₫,Giảm 20%
1,Apple Macbook Air M2 2022 8GB 256GB I Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-m2-2022.html,26.290.000₫,32.990.000₫,Giảm 20%
2,iMac M3 24 inch 8GB 256GB 8GPU | Chính hãng Apple Việt Nam,https://cellphones.com.vn/imac-m3-2023-24-inch-8gb-256gb.html,35.990.000₫,36.990.000₫,Giảm 3%
3,Laptop Lenovo Yoga Duet 7 13ITL6 82MA009NVN,https://cellphones.com.vn/laptop-lenovo-yoga-duet-7-13itl6-82ma009nvn.html,18.990.000₫,28.490.000₫,Giảm 33%
4,Laptop Asus Zenbook 14 OLED UM3402YA-KM405W,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-um3402ya-km405w.html,20.490.000₫,24.990.000₫,Giảm 18%
5,Macbook Pro 14 M3 Pro 18GB - 512GB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-pro-14-inch-m3-pro-2023-18gb-512gb.html,49.990.000₫,17.990.000₫,Giảm 0%
6,Laptop Lenovo IdeaPad Gaming 3 15ACH6 82K2027QVN,https://cellphones.com.vn/laptop-lenovo-ideapad-gaming-3-15ach6-82k2027qvn.html,0,35.990.000₫,Giảm 17%
7,Apple Macbook Pro 13 M2 2022 8GB 256GB I Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-pro-m2-2022.html,14.990.000₫,21.990.000₫,Giảm 18%
8,Laptop Asus TUF GAMING F15 FX506HF-HN014W,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506hf-hn014w.html,29.590.000₫,14.490.000₫,Giảm 26%
9,Laptop Asus VivoBook Go 14 E1404FA-NK177W,https://cellphones.com.vn/laptop-asus-vivobook-go-14-e1404fa-nk177w.html,16.290.000₫,17.990.000₫,Giảm 16%
10,Laptop MSI Gaming GF63 12UCX-841VN,https://cellphones.com.vn/laptop-msi-gaming-msi-gf63-12ucx-841vn.html,12.190.000₫,23.990.000₫,Giảm 15%
11,Laptop Gaming Acer Nitro 5 Eagle AN515-57-5669 NH.QEHSV.001,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-eagle-an515-57-5669.html,15.290.000₫,20.990.000₫,Giảm 34%
12,Laptop Asus TUF Gaming F15 FX506HF-HN078W,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506hf-hn078w.html,15.890.000₫,28.300.000₫,Giảm 18%
13,Laptop Gaming Acer Nitro 5 Tiger AN515 58 52SP,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-tiger-an515-58-52sp.html,17.190.000₫,18.990.000₫,Giảm 26%
14,Laptop Asus Vivobook 15 OLED A1505ZA-L1245W,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505za-l1245w.html,20.890.000₫,35.990.000₫,Giảm 22%
15,Apple MacBook Pro 13 Touch Bar M1 256GB 2020 I Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1.html,14.790.000₫,11.990.000₫,Giảm 23%
16,Laptop MSI Modern 14 C11M-011VN,https://cellphones.com.vn/laptop-msi-modern-14-c11m-011vn.html,27.590.000₫,20.990.000₫,Giảm 29%
17,Laptop HP Pavilion 14-DV2073TU 7C0P2PA,https://cellphones.com.vn/laptop-hp-pavilion-14-dv2073tu-7c0p2pa.html,8.490.000₫,34.990.000₫,Giảm 21%
18,Laptop Asus TUF Gaming F15 FX507ZU4-LP054W,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zu4-lp054w.html,16.490.000₫,12.490.000₫,Giảm 26%
19,Laptop Asus VivoBook 14 X1404ZA-NK075W,https://cellphones.com.vn/laptop-asus-vivobook-14-x1404za-nk075w.html,25.990.000₫,15.490.000₫,Giảm 28%
20,Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0005VN,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-14iah8-83eq0005vn.html,8.990.000₫,28.990.000₫,Giảm 13%
21,Laptop Asus Zenbook 14 Oled UX3405MA-PP151W,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3405ma-pp151w.html,13.490.000₫,26.990.000₫,Giảm 6%
22,Laptop Asus VivoBook 14X OLED S3405VA-KM071W,https://cellphones.com.vn/laptop-asus-vivobook-14x-oled-s3405va-km071w.html,27.390.000₫,21.700.000₫,Giảm 17%
23,Surface Pro 7 Plus Core i5 / 8GB / 128GB Nhập Khẩu Chính Hãng,https://cellphones.com.vn/surface-pro-7-plus.html,22.390.000₫,32.990.000₫,Giảm 22%
24,Macbook Air 15 inch M2 2023 8GB 256GB sạc 35W | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-15-inch-m2-2023.html,16.990.000₫,5.490.000₫,Giảm 12%
25,Laptop Asus E210KA-GJ073W,https://cellphones.com.vn/laptop-asus-e210ka-gj073w.html,28.990.000₫,16.990.000₫,Giảm 9%
26,Laptop Asus VivoBook S 14 FLIP TP3402VA-LZ025W,https://cellphones.com.vn/laptop-asus-vivobook-s-14-flip-tp3402va-lz025w.html,4.990.000₫,20.990.000₫,Giảm 29%
27,Laptop MSI Gaming GF63 Thin 11UC-1228VN,https://cellphones.com.vn/laptop-msi-gaming-gf63-thin-11uc-1228vn.html,11.990.000₫,20.990.000₫,Giảm 14%
28,Laptop MSI Gaming GF63 12UC-887VN,https://cellphones.com.vn/laptop-msi-gaming-gf63-12uc-887vn.html,17.990.000₫,17.990.000₫,Giảm 7%
29,Laptop Dell Latitude 5330 27KJ4,https://cellphones.com.vn/laptop-dell-latitude-5330-27kj4.html,19.490.000₫,52.990.000₫,Giảm 6%
30,MacBook Pro 14 inch M2 Pro 2023 (10 CPU - 16 GPU - 16GB - 512GB),https://cellphones.com.vn/macbook-pro-14-inch-m2-pro-2023.html,16.990.000₫,22.800.000₫,Giảm 11%
31,Laptop Gaming Nitro 5 Eagle AN515-57-53F9,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-eagle-an515-57-53f9.html,46.990.000₫,17.990.000₫,Giảm 22%
32,Laptop Asus VivoBook 14 OLED M1405YA-KM047W - Chỉ có tại CellphoneS,https://cellphones.com.vn/laptop-asus-vivobook-14-oled-m1405ya-km047w.html,17.790.000₫,11.290.000₫,Giảm 19%
33,Laptop Lenovo IdeaPad 3 14ITL6 82H701QWVN,https://cellphones.com.vn/laptop-lenovo-ideapad-3-14itl6-82h701qwvn.html,14.490.000₫,18.490.000₫,Giảm 17%
34,Laptop MSI Gaming Bravo 15 B7ED-010VN,https://cellphones.com.vn/laptop-msi-gaming-bravo-15-b7ed-010vn.html,9.390.000₫,39.990.000₫,Giảm 11%
35,Macbook Pro 14 M3 8GB - 512GB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-pro-14-inch-m3-2023-8gb-512gb.html,16.490.000₫,27.990.000₫,Giảm 4%
36,Laptop Asus ZenBook 14 OLED UX3402VA-KM085W,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3402va-km085w.html,38.490.000₫,24.990.000₫,Giảm 19%
37,Laptop Asus VivoBook 15 OLED A1505VA-L1201W,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505va-l1201w.html,22.690.000₫,18.490.000₫,Giảm 14%
38,Laptop Lenovo ThinkBook 15 G5 IRL 21JD002FVN,https://cellphones.com.vn/laptop-lenovo-thinkbook-15-g5-irl-21jd002fvn.html,21.490.000₫,13.990.000₫,Giảm 12%
39,Laptop Dell Inspiron 15 3520 YTC9K,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-ytc9k.html,16.290.000₫,26.990.000₫,Giảm 10%
40,Laptop Lenovo LOQ 15APH8 82XT00BTVN,https://cellphones.com.vn/laptop-lenovo-loq-15aph8-82xt00btvn.html,12.590.000₫,29.990.000₫,Giảm 15%
41,Laptop ASUS ROG Flow X13 GV301RC-LJ050W,https://cellphones.com.vn/laptop-asus-rog-flow-x13-gv301rc-lj050w.html,22.990.000₫,15.990.000₫,Giảm 5%
